username,playtime,content,recommended,owned_products,found_helpful
JoyTjz,6.7 hrs on record,"Posted: August 26
自2017年E3展上首次亮相以来，这款后来被成为4A级游戏的《碧海黑帆》便以独特的多人海战玩法颇受关注，一方面出于《海贼王》的火热对于大航海时代下对于海盗生活的憧憬，另一方面出于《刺客信条：黑旗》中浅尝辄止却又意犹未尽的海战玩法，但奈何游戏开发路程却并不顺利，以至于后续谈到《碧海黑帆》脑海中便自动与跳票二字挂钩，甚至一度担心项目是否会被直接取消，但好在游戏经历了种种困难也是正式发售了，依旧保持了高水准的美术，但在海战玩法上有些差强人意！
欢迎关注 网易UU鉴赏家培养计划
关注UU加速器VX公众号，回复“steam”，获得专属玩家群邀请。

依旧顶级的美术
作为育碧旗下作品，你可以说他罐头，但绝对质疑不了它的美术设计，不管是最近的《刺客信条幻景》中惊艳的巴格达还是《阿凡达：潘多拉边境》中生机盎然的潘多拉星球，甚至就是独立游戏《波斯王子：失落的王冠》在美术设计上也堪称顶尖，《碧海黑帆》中同样也不逊色，游戏背景设置在印度洋，以海洋为基础打造了一个遍布各种群岛与港口的开放世界，船只驶过凛冽的海风，汹涌呼啸的海浪，部分海域还有这极强的天气效果，加之船只之间火炮战斗效果，战斗体验还是很不错的！

游戏的玩法定位是多人为主的海战，这一点上和最初的预期还是有些差别的，因为他并没有做到像《骑马与砍杀》那样宏观策略与微操的结合，玩家能操作的也就只有船只，而并非是海盗，虽然也有船员的设定，但并没有衍生出比如操作船员登录掠夺这些玩法，战斗中虽然有船员登陆的设定，但实际上也就是一个类似处决的机制，额外获得有些战利品.

游戏的剧情设计也相对薄弱，更多的算是充当新手教程以及任务向导，玩家可以通过任务获取各种资源，这些任务承担了战斗的主要目标，但大部分都是去战斗掠夺些资源，并通过任务获取声望，除了主线任务之外，由于多人游戏的设计游戏还包含了很多赛季限时任务，比如世界任务可以组队去打海怪，游戏的战斗节奏也并不是很快，很多任务可以慢慢享受海上航行的时光，当然对于不喜欢慢节奏航行的玩家在解锁港口后也可以通过金币快速传送！

船只的自定义也是游戏比较有趣的部分，也是促成多人合作比较关键的因素，玩家可以针对船只进行不同的改造，不同的船只拥有不同的属性，并且可以装在不同的配件，比如火炮护甲等等，可以配合多人组队中不同的定位来进行不同的船只diy，可以着重加强护甲抗伤害，也可以打造远程火炮更加灵活进行风筝，策略玩法还算不错！

总的来说可以算是一款瑕不掩瑜的作品，虽然海战玩法设计有些欠缺，或者说可添加的内容可以更加丰富，但对于喜欢海战的玩家来说仍能支撑起不错的游戏体验！",推荐,723 products in account,123 people found this review helpful 2
shanchex,0.2 hrs on record,"Posted: August 23
当你下载完游戏，设置好画面，想运行一下基准测试看看帧数，然后。。。。居然要匹配！是的，你没看错，运行个基准测试也要在线匹配。。。而且一直就没有匹配成功。这必须得给个超级好评奖励一下设计这个的天才",推荐,"5,787 products in account","131 people found this review helpful
83 people found this review funny 2"
⛧ M†ropele ⛧,0.1 hrs on record,"Posted: August 22
Ah yes, the ""quadruple A"" game. Imagine having the blueprints for a successful pirate game in Assassin's Creed Black Flag, and then messing up this bad... The only real pirates were the Devs taking peoples money.",推荐,601 products in account,"1,307 people found this review helpful
148 people found this review funny 176"
Merrick The Mad,16.6 hrs on record,"Posted: August 22
Bad review as I can't even play the game. When launching it requires uplay. Uplay requires its own activation key from you and if you own the premium edition (could be true of the other versions but I do not know) you will receive a dlc to your account under purchase history BUT no way to access that key yourself for uplay. Thanks Ubisoft very cool.

Small edit. It counts the uplay launcher as time played if anyone is wondering.

Edit for the dev- Not only did I do all the things you suggested I also opened a ticket with customer service providing my logs from ubi connect and my steam purchase history. I double checked that my ubi account was connected to this steam account and let ubisoft connect have admin rights which I'm almost glad isn't the solution. I also uninstalled ubisoft connect and reinstalled just in case.

Well I found the issue. I had to reinstall ubisoft connect a second time AND THEN clear the Ubisoft connect cache. Brilliant software.

Final edit. I did end up requesting a refund on the game due to it simply not being good and for some reason the steam overlay coming up makes my controller work incorrectly. Steam denied for my hours being to high which most of them at this point being my fighting with uplay (it's the same thing get over it). Save yourself the trouble of buying this schlock.",推荐,"1,309 products in account","1,175 people found this review helpful
50 people found this review funny 64"
professional bottom fragger,1.7 hrs on record,"Posted: August 22
This game is incredibly boring. Can't run around your ship or anything - you're stuck in ""driving"" mode with the ability to shoot cannons from a different viewpoint. It's purely naval combat and unfortunately the story, dialogue & missions provided are not strong enough for it to be only naval combat. I have requested a refund.",推荐,,"641 people found this review helpful
9 people found this review funny 20"
Mester Mikkelsen,0.3 hrs on record,"Posted: August 23
I thought the game would be playable after buying it a few months after official release but whenever I try to play the game there is a 2min cinematic which is unskippable and after that it forces itself to queue in matchmaking, however after 5 mins of matchmaking it just gives an error code and you have to do it all over again. Since this game is online I can't even play the game because ubisoft can't fix their own servers",推荐,132 products in account,"373 people found this review helpful
11 people found this review funny 9"
Occasional Win,4.7 hrs on record,"Posted: August 24
I played 5 hours and will never play again. This is a disappointing game. There's no substance except for visually-appealing character and ship customizations, the coolest of which are unlocked only with microtransactions. Also, most players do not have PVP turned on. Without PVP, you're left doing mindless fetch quests. It's not even half the game Assassin's Creed: Black Flag was. Don't waste your time or money. There are better co-op pirate games out there.",推荐,27 products in account,"282 people found this review helpful
5 people found this review funny 14"
LOTUS.,5.4 hrs on record,"Posted: August 26
紧张刺激的海战玩法、激情昂扬的水手号子、汹涌澎湃的海浪卷席······随着《碧海黑帆》上架蒸汽平台，大航海时代终于来临啦！那么，经验丰富的船长，你准备好了吗？你是那个梦想成为“海贼王”的男人吗？踏上属于你自己的成王之路吧！

欢迎关注


光是游戏开头的CG便给玩家营造了浓浓的海战氛围，谁不想从籍籍无名的小辈登上“海贼王”的宝座？CG的制作精良无需多言，准备好截图就行了，通过明暗的强烈对比与人物特写的刻画，大海上的波涛汹涌和各大势力间的暗流涌动跃然纸上。

开头CG过后便是一段激烈的海战，操控船舵、指挥水手，将大炮瞄准敌人的软肋，随着指令的下达，敌人的船只在顷刻间沉没，好一个“谈笑间樯橹灰飞烟灭”。只可惜好景不长，敌人人多势众，你的战舰终究是没能招架住敌人的火力压制，货物丢失而你也漂流到了海岛上，你还有东山再起的日子吗？


说实话，开头的CG加战斗完美满足了我对完美海战游戏的幻想，但随着游戏的深入，部分内容还是存在不尽如人意的地方。

在玩法方面，《碧海黑帆》更加注重船只及其装备的养成。游戏中光是船只的种类就有数十种，每艘船只都可以配备精良的武器；同时船只本身也有属于自己的特性，是选择暴力冲撞还是远程攻打，一切的进攻策略皆交由玩家决定，根据特定的目标选择特定的船只可以实现事半功倍的效果。在攻占完成的登船动画也是看的让人热血沸腾。同时游戏存在PVP机制，当玩家打开PVP旗帜后就可以于其他玩家组队游玩，抑或是向另一名玩家发起挑战进行掠夺，就目前看来这种联机游玩的体验还算不错，不存在联机难、易掉线、找不到玩家等缺点，喜欢海战PVP的玩家有福啦。

可能《碧海黑帆》有些过分注重于养成系统了，这就导致了在前期玩家的游玩体验相当坐牢。首先你只有一艘初始船只、简单的火炮以及数量有限的弹药，面对较难操控的船只、随时会发生变化的天气系统、较高的战力差距，游戏难度可谓是直线飙升；同时对于没有玩过该类游戏的玩家，在控制船只前进方向的同时还需要进行武器瞄准，在前进的过程中攻击对方船只的弱点，而发射出去的炮弹的落点有时又有些让人摸不着头脑，在海战环节免不了一阵手忙脚乱。虽说前期任务的难度都不算高，度过这段艰苦的时光也许就可以体验到紧张博弈的海战，但成长期还是有些过于冗长了，很多玩家在熬过这段日子前就已经丧失了游玩的乐趣。

此外，游戏在任务以及日常目标方面也存在着不小的槽点。开始恢弘的战斗，船长流落海岛得到帮助后重回大海，这一切安排都让我觉得整个游戏的流程都是不断通过战斗和掠夺，扮演一名名副其实的海盗，重拾荣光、称霸一方。但是事与愿违，虽然也有海战任务的存在，但其占比并不算高，玩家接到的更多的任务往往是海域探索、商品贸易等等，我可是海盗，烧杀掠夺才是我的天性，怎么还一本正经地让我工作起来了，我堂堂海盗留在大海间的不是我伟大的航海事迹，却是我勤勤恳恳的甘当货拉拉？


虽然游戏本身不可避免地存在着一些槽点，但是好在瑕不掩瑜，尤其是当水手号子的声音响起时，《碧海黑帆（Skull and Bones）》为玩家营造的沉浸式海战氛围还是非常优秀的；熬过艰苦的发育岁月，横行于大海之上，留下属于你的传说吧！",推荐,105 products in account,58 people found this review helpful 0
helland_greg,0.3 hrs on record,"Posted: August 23
What a crock of ♥♥♥♥.. There is no SINGLE player ( AS advertised) in this game you have to wait in the ♥♥♥♥♥♥ match making que for other players and you never get connected... AVOID this game it is garbage and i know what they are doing...... They delay the match making Que til you get close to the 2 hour mark so you cant get a refund from steam and then you are stuck with this POS.....",推荐,,"527 people found this review helpful
13 people found this review funny 37"
Peanut,8.9 hrs on record,"Posted: August 23
Can't get into the actual game as you need to connect to the servers which doesn't seem to be working. not sure why they say it has single player if you need to connect to servers... rather say online Single player so that we know we will one day not be able to play the game when Ubisoft shuts down the servers like they have recently done with other titles.",推荐,,232 people found this review helpful 7
